,names,sample1,sample2,sample3,sample4,sample5,date,date_delta,measure1,measure2
0,20170924_sample2,0.0,1.0,0.0,0.0,0.0,2017-09-24,1280,37.5,150.0
1,20050404_sample4,0.0,0.0,0.0,1.0,0.0,2005-04-04,5836,22.0,225.0
2,20020428_sample3,0.0,0.0,1.0,0.0,0.0,2002-04-28,6908,22.5,110.0
3,20120807_sample5,0.0,0.0,0.0,0.0,1.0,2012-08-07,3154,56.25,150.0
4,20130210_sample3,0.0,0.0,1.0,0.0,0.0,2013-02-10,2967,43.5,160.0
5,20190422_sample5,0.0,0.0,0.0,0.0,1.0,2019-04-22,705,78.75,180.0
6,20090118_sample4,0.0,0.0,0.0,1.0,0.0,2009-01-18,4451,48.0,237.5
7,20170821_sample5,0.0,0.0,0.0,0.0,1.0,2017-08-21,1314,72.0,195.0
8,20200310_sample3,0.0,0.0,1.0,0.0,0.0,2020-03-10,382,52.5,190.0
9,20080313_sample4,0.0,0.0,0.0,1.0,0.0,2008-03-13,4762,48.0,187.5
10,20080911_sample3,0.0,0.0,1.0,0.0,0.0,2008-09-11,4580,27.0,200.0
11,20060413_sample1,1.0,0.0,0.0,0.0,0.0,2006-04-13,5462,24.0,16.0
12,20110922_sample3,0.0,0.0,1.0,0.0,0.0,2011-09-22,3474,42.0,160.0
13,20060617_sample4,0.0,0.0,0.0,1.0,0.0,2006-06-17,5397,34.0,125.0
14,20021205_sample3,0.0,0.0,1.0,0.0,0.0,2002-12-05,6687,24.0,200.0
15,20200325_sample3,0.0,0.0,1.0,0.0,0.0,2020-03-25,367,46.5,180.0
16,20061104_sample2,0.0,1.0,0.0,0.0,0.0,2006-11-04,5257,18.75,105.0
17,20041124_sample1,1.0,0.0,0.0,0.0,0.0,2004-11-24,5967,19.0,17.0
18,20191117_sample1,1.0,0.0,0.0,0.0,0.0,2019-11-17,496,33.0,17.0
19,20130807_sample1,1.0,0.0,0.0,0.0,0.0,2013-08-07,2789,26.0,17.0
20,20160108_sample3,0.0,0.0,1.0,0.0,0.0,2016-01-08,1905,51.0,190.0
21,20061121_sample3,0.0,0.0,1.0,0.0,0.0,2006-11-21,5240,28.5,120.0
22,20110205_sample5,0.0,0.0,0.0,0.0,1.0,2011-02-05,3703,67.5,285.0
23,20151227_sample4,0.0,0.0,0.0,1.0,0.0,2015-12-27,1917,52.0,137.5
24,20040802_sample2,0.0,1.0,0.0,0.0,0.0,2004-08-02,6081,25.0,82.5
25,20040808_sample5,0.0,0.0,0.0,0.0,1.0,2004-08-08,6075,27.0,270.0
26,20060307_sample1,1.0,0.0,0.0,0.0,0.0,2006-03-07,5499,21.0,10.0
27,20000501_sample2,0.0,1.0,0.0,0.0,0.0,2000-05-01,7635,20.0,120.0
28,20000211_sample1,1.0,0.0,0.0,0.0,0.0,2000-02-11,7715,12.0,15.0
29,20030524_sample3,0.0,0.0,1.0,0.0,0.0,2003-05-24,6517,21.0,200.0
30,20111026_sample1,1.0,0.0,0.0,0.0,0.0,2011-10-26,3440,28.0,16.0
31,20050416_sample2,0.0,1.0,0.0,0.0,0.0,2005-04-16,5824,13.75,135.0
32,20000412_sample5,0.0,0.0,0.0,0.0,1.0,2000-04-12,7654,45.0,285.0
33,20030403_sample4,0.0,0.0,0.0,1.0,0.0,2003-04-03,6568,40.0,250.0
34,20160705_sample5,0.0,0.0,0.0,0.0,1.0,2016-07-05,1726,72.0,195.0
35,20001023_sample5,0.0,0.0,0.0,0.0,1.0,2000-10-23,7460,31.5,225.0
36,20150925_sample3,0.0,0.0,1.0,0.0,0.0,2015-09-25,2010,40.5,100.0
37,20171221_sample2,0.0,1.0,0.0,0.0,0.0,2017-12-21,1192,40.0,120.0
38,20130525_sample1,1.0,0.0,0.0,0.0,0.0,2013-05-25,2863,30.0,13.0
39,20050501_sample3,0.0,0.0,1.0,0.0,0.0,2005-05-01,5809,28.5,150.0
40,20140521_sample3,0.0,0.0,1.0,0.0,0.0,2014-05-21,2502,40.5,100.0
41,20030824_sample4,0.0,0.0,0.0,1.0,0.0,2003-08-24,6425,28.0,225.0
42,20150104_sample1,1.0,0.0,0.0,0.0,0.0,2015-01-04,2274,28.0,16.0
43,20010801_sample5,0.0,0.0,0.0,0.0,1.0,2001-08-01,7178,40.5,195.0
44,20041018_sample3,0.0,0.0,1.0,0.0,0.0,2004-10-18,6004,30.0,140.0
45,20031105_sample1,1.0,0.0,0.0,0.0,0.0,2003-11-05,6352,16.0,15.0
46,20070319_sample2,0.0,1.0,0.0,0.0,0.0,2007-03-19,5122,20.0,120.0
47,20191116_sample1,1.0,0.0,0.0,0.0,0.0,2019-11-16,497,35.0,17.0
48,20081022_sample2,0.0,1.0,0.0,0.0,0.0,2008-10-22,4539,23.75,112.5
49,20200120_sample5,0.0,0.0,0.0,0.0,1.0,2020-01-20,432,78.75,210.0
50,20030924_sample4,0.0,0.0,0.0,1.0,0.0,2003-09-24,6394,22.0,162.5
51,20010524_sample2,0.0,1.0,0.0,0.0,0.0,2001-05-24,7247,17.5,75.0
52,20041022_sample2,0.0,1.0,0.0,0.0,0.0,2004-10-22,6000,25.0,120.0
53,20080820_sample3,0.0,0.0,1.0,0.0,0.0,2008-08-20,4602,27.0,200.0
54,20020716_sample5,0.0,0.0,0.0,0.0,1.0,2002-07-16,6829,45.0,165.0
55,20040514_sample2,0.0,1.0,0.0,0.0,0.0,2004-05-14,6161,21.25,105.0
56,20040703_sample2,0.0,1.0,0.0,0.0,0.0,2004-07-03,6111,18.75,97.5
57,20091018_sample3,0.0,0.0,1.0,0.0,0.0,2009-10-18,4178,27.0,200.0
58,20080108_sample2,0.0,1.0,0.0,0.0,0.0,2008-01-08,4827,20.0,142.5
59,20090919_sample1,1.0,0.0,0.0,0.0,0.0,2009-09-19,4207,20.0,16.0
60,20050711_sample4,0.0,0.0,0.0,1.0,0.0,2005-07-11,5738,28.0,237.5
61,20160824_sample4,0.0,0.0,0.0,1.0,0.0,2016-08-24,1676,70.0,137.5
62,20170725_sample4,0.0,0.0,0.0,1.0,0.0,2017-07-25,1341,62.0,175.0
63,20190618_sample4,0.0,0.0,0.0,1.0,0.0,2019-06-18,648,68.0,175.0
64,20080418_sample3,0.0,0.0,1.0,0.0,0.0,2008-04-18,4726,36.0,140.0
65,20030805_sample4,0.0,0.0,0.0,1.0,0.0,2003-08-05,6444,30.0,187.5
66,20140815_sample2,0.0,1.0,0.0,0.0,0.0,2014-08-15,2416,37.5,97.5
67,20141007_sample3,0.0,0.0,1.0,0.0,0.0,2014-10-07,2363,43.5,100.0
68,20100921_sample1,1.0,0.0,0.0,0.0,0.0,2010-09-21,3840,15.0,18.0
69,20120217_sample2,0.0,1.0,0.0,0.0,0.0,2012-02-17,3326,37.5,150.0
70,20021119_sample1,1.0,0.0,0.0,0.0,0.0,2002-11-19,6703,15.0,20.0
71,20140319_sample2,0.0,1.0,0.0,0.0,0.0,2014-03-19,2565,35.0,105.0
72,20000827_sample1,1.0,0.0,0.0,0.0,0.0,2000-08-27,7517,13.0,18.0
73,20060420_sample2,0.0,1.0,0.0,0.0,0.0,2006-04-20,5455,25.0,142.5
74,20120212_sample1,1.0,0.0,0.0,0.0,0.0,2012-02-12,3331,25.0,11.0
75,20150115_sample5,0.0,0.0,0.0,0.0,1.0,2015-01-15,2263,56.25,240.0
76,20080428_sample1,1.0,0.0,0.0,0.0,0.0,2008-04-28,4716,18.0,17.0
77,20170220_sample5,0.0,0.0,0.0,0.0,1.0,2017-02-20,1496,74.25,240.0
78,20141117_sample4,0.0,0.0,0.0,1.0,0.0,2014-11-17,2322,52.0,125.0
79,20010216_sample3,0.0,0.0,1.0,0.0,0.0,2001-02-16,7344,27.0,130.0
80,20111118_sample2,0.0,1.0,0.0,0.0,0.0,2011-11-18,3417,32.5,90.0
81,20130703_sample1,1.0,0.0,0.0,0.0,0.0,2013-07-03,2824,27.0,12.0
82,20161124_sample3,0.0,0.0,1.0,0.0,0.0,2016-11-24,1584,51.0,110.0
83,20181019_sample1,1.0,0.0,0.0,0.0,0.0,2018-10-19,890,33.0,14.0
84,20110502_sample5,0.0,0.0,0.0,0.0,1.0,2011-05-02,3617,60.75,180.0
85,20070104_sample3,0.0,0.0,1.0,0.0,0.0,2007-01-04,5196,24.0,110.0
86,20091105_sample1,1.0,0.0,0.0,0.0,0.0,2009-11-05,4160,16.0,13.0
87,20080515_sample1,1.0,0.0,0.0,0.0,0.0,2008-05-15,4699,17.0,12.0
88,20180427_sample3,0.0,0.0,1.0,0.0,0.0,2018-04-27,1065,48.0,120.0
89,20010710_sample5,0.0,0.0,0.0,0.0,1.0,2001-07-10,7200,22.5,195.0
90,20170109_sample4,0.0,0.0,0.0,1.0,0.0,2017-01-09,1538,66.0,250.0
91,20170913_sample1,1.0,0.0,0.0,0.0,0.0,2017-09-13,1291,31.0,10.0
92,20170603_sample1,1.0,0.0,0.0,0.0,0.0,2017-06-03,1393,30.0,10.0
93,20190708_sample1,1.0,0.0,0.0,0.0,0.0,2019-07-08,628,34.0,20.0
94,20201013_sample1,1.0,0.0,0.0,0.0,0.0,2020-10-13,165,32.0,14.0
95,20180613_sample3,0.0,0.0,1.0,0.0,0.0,2018-06-13,1018,45.0,120.0
96,20080907_sample2,0.0,1.0,0.0,0.0,0.0,2008-09-07,4584,22.5,142.5
97,20191027_sample3,0.0,0.0,1.0,0.0,0.0,2019-10-27,517,45.0,130.0
98,20070821_sample2,0.0,1.0,0.0,0.0,0.0,2007-08-21,4967,31.25,75.0
99,20111103_sample5,0.0,0.0,0.0,0.0,1.0,2011-11-03,3432,67.5,150.0
100,20080619_sample3,0.0,0.0,1.0,0.0,0.0,2008-06-19,4664,22.5,200.0